"parent","child","parent_state","child_state","host_switch","rate","group"
322,323,"Sus scrofa","Sus scrofa",FALSE,0.000658230967740576,"No Shift"
323,324,"Sus scrofa","Sus scrofa",FALSE,9.59935010544501e-06,"No Shift"
324,231,"Sus scrofa","Sus scrofa",FALSE,0.000328889619856344,"No Shift"
324,232,"Sus scrofa","Sus scrofa",FALSE,0.00134714154368071,"No Shift"
323,230,"Sus scrofa","Sus scrofa",FALSE,0.00338014338580931,"No Shift"
322,233,"Sus scrofa","Sus scrofa",FALSE,0.0012962257621286,"No Shift"
321,229,"Sus scrofa","Sus scrofa",FALSE,0.00354967194368071,"No Shift"
320,325,"Sus scrofa","Sus scrofa",FALSE,9.08977240988914e-05,"No Shift"
325,234,"Sus scrofa","Sus scrofa",FALSE,3.61756092908315e-05,"No Shift"
325,235,"Sus scrofa","Sus scrofa",FALSE,0.00359934374878049,"No Shift"
319,228,"Sus scrofa","Sus scrofa",FALSE,0.00400030198447894,"No Shift"
318,236,"Sus scrofa","Sus scrofa",FALSE,0.00103728515831486,"No Shift"
317,326,"Homo sapiens","Homo sapiens",FALSE,0.000585943975753902,"No Shift"
326,226,"Homo sapiens","Homo sapiens",FALSE,0.0031342018691796,"No Shift"
326,227,"Homo sapiens","Homo sapiens",FALSE,0.00070429822822173,"No Shift"
316,327,"Homo sapiens","Homo sapiens",FALSE,0.000171741523080703,"No Shift"
327,328,"Homo sapiens","Homo sapiens",FALSE,9.93310104745011e-05,"No Shift"
328,329,"Homo sapiens","Homo sapiens",FALSE,9.0685930713439e-08,"No Shift"
329,330,"Homo sapiens","Homo sapiens",FALSE,0.00415493917605322,"No Shift"
330,331,"Homo sapiens","Homo sapiens",FALSE,0.000575555959201774,"No Shift"
331,238,"Homo sapiens","Homo sapiens",FALSE,0.00110846906727051,"No Shift"
331,239,"Homo sapiens","Homo sapiens",FALSE,0.00471256464745011,"No Shift"
330,240,"Homo sapiens","Homo sapiens",FALSE,0.000176325004037029,"No Shift"
329,241,"Homo sapiens","Homo sapiens",FALSE,7.34837571367783e-06,"No Shift"
328,237,"Homo sapiens","Sus scrofa",TRUE,0.00112543534204213,"Host Shift"
327,332,"Homo sapiens","Homo sapiens",FALSE,4.53456363194681e-05,"No Shift"
332,333,"Homo sapiens","Homo sapiens",FALSE,0.000662772293161863,"No Shift"
333,242,"Homo sapiens","Sus scrofa",TRUE,0.00122350081100665,"Host Shift"
333,243,"Homo sapiens","Homo sapiens",FALSE,7.74017284263104e-06,"No Shift"
332,244,"Homo sapiens","Homo sapiens",FALSE,9.3124138792816e-05,"No Shift"
286,225,"Homo sapiens","Homo sapiens",FALSE,0.00308202074636364,"No Shift"
285,334,"Homo sapiens","Homo sapiens",FALSE,0.00524724099556541,"No Shift"
334,335,"Homo sapiens","Homo sapiens",FALSE,0.0029272281751663,"No Shift"
335,336,"Homo sapiens","Homo sapiens",FALSE,0.000312098072367406,"No Shift"
336,337,"Homo sapiens","Homo sapiens",FALSE,0.00100409460101996,"No Shift"
337,338,"Homo sapiens","Homo sapiens",FALSE,8.76604087592669e-06,"No Shift"
338,339,"Homo sapiens","Homo sapiens",FALSE,0.000398175457395965,"No Shift"
339,340,"Homo sapiens","Homo sapiens",FALSE,0.00121075290465632,"No Shift"
340,341,"Homo sapiens","Homo sapiens",FALSE,0.000356301573525499,"No Shift"
341,342,"Homo sapiens","Homo sapiens",FALSE,7.6837092545898e-06,"No Shift"
342,343,"Homo sapiens","Homo sapiens",FALSE,0.000294625605988027,"No Shift"
343,204,"Homo sapiens","Homo sapiens",FALSE,5.0720694048337e-10,"No Shift"
343,205,"Homo sapiens","Homo sapiens",FALSE,0.000242315294843326,"No Shift"
342,206,"Homo sapiens","Homo sapiens",FALSE,0.000304474349159645,"No Shift"
341,207,"Homo sapiens","Homo sapiens",FALSE,0.00305151378587583,"No Shift"
340,208,"Homo sapiens","Homo sapiens",FALSE,1.1204562308847e-07,"No Shift"
339,344,"Homo sapiens","Homo sapiens",FALSE,0.000755388528268714,"No Shift"
344,345,"Homo sapiens","Homo sapiens",FALSE,0.00222427931365854,"No Shift"
345,346,"Homo sapiens","Homo sapiens",FALSE,0.000645500525833703,"No Shift"
346,209,"Homo sapiens","Meleagris gallopavo",TRUE,0.00384658933858093,"Host Shift"
346,210,"Homo sapiens","Homo sapiens",FALSE,0.000327826870709534,"No Shift"
345,211,"Homo sapiens","Mustela putorius furo",TRUE,0.00281902736718404,"Host Shift"
344,212,"Homo sapiens","Homo sapiens",FALSE,3.54246560179379e-05,"No Shift"
338,347,"Homo sapiens","Homo sapiens",FALSE,0.000622220843813747,"No Shift"
347,348,"Homo sapiens","Homo sapiens",FALSE,0.0148142900886918,"No Shift"
348,214,"Homo sapiens","Homo sapiens",FALSE,0.00241813094345898,"No Shift"
348,215,"Homo sapiens","Homo sapiens",FALSE,9.04516319210643e-05,"No Shift"
347,213,"Homo sapiens","Homo sapiens",FALSE,2.20772775183427e-05,"No Shift"
337,349,"Homo sapiens","Sus scrofa",TRUE,1.49192507594767e-07,"Host Shift"
349,350,"Sus scrofa","Sus scrofa",FALSE,0.00117461627627494,"No Shift"
350,217,"Sus scrofa","Sus scrofa",FALSE,0.000674920810443459,"No Shift"
350,218,"Sus scrofa","Homo sapiens",TRUE,0.00168821440257206,"Host Shift"
349,216,"Sus scrofa","Sus scrofa",FALSE,0.000453951336441685,"No Shift"
336,219,"Homo sapiens","Homo sapiens",FALSE,5.13111857079319e-08,"No Shift"
335,220,"Homo sapiens","Sus scrofa",TRUE,0.00295429661463415,"Host Shift"
334,351,"Homo sapiens","Homo sapiens",FALSE,0.000361615793880931,"No Shift"
351,352,"Homo sapiens","Homo sapiens",FALSE,1.09611334516439e-09,"No Shift"
352,353,"Homo sapiens","Homo sapiens",FALSE,3.0967669716031e-06,"No Shift"
353,221,"Homo sapiens","Homo sapiens",FALSE,3.22744040191982e-08,"No Shift"
353,222,"Homo sapiens","Homo sapiens",FALSE,6.66701267623958e-05,"No Shift"
352,223,"Homo sapiens","Homo sapiens",FALSE,0.000160622114949113,"No Shift"
351,224,"Homo sapiens","Sus scrofa",TRUE,0.000306940345886474,"Host Shift"
284,354,"Homo sapiens","Homo sapiens",FALSE,0.0088064316496674,"No Shift"
354,355,"Homo sapiens","Homo sapiens",FALSE,0.00118272706258315,"No Shift"
355,356,"Homo sapiens","Homo sapiens",FALSE,1.88061760210495e-05,"No Shift"
356,357,"Homo sapiens","Sus scrofa",TRUE,0.00069633774401243,"Host Shift"
357,198,"Sus scrofa","Sus scrofa",FALSE,3.26085638404656e-05,"No Shift"
357,199,"Sus scrofa","Sus scrofa",FALSE,0.000636094577365854,"No Shift"
356,200,"Homo sapiens","Homo sapiens",FALSE,0.000776908079742794,"No Shift"
355,358,"Homo sapiens","Homo sapiens",FALSE,2.65467087611752e-05,"No Shift"
358,201,"Homo sapiens","Homo sapiens",FALSE,0.000303940647343681,"No Shift"
358,202,"Homo sapiens","Homo sapiens",FALSE,0.00353738169179601,"No Shift"
354,203,"Homo sapiens","Homo sapiens",FALSE,0.00911422411086475,"No Shift"
283,359,"Homo sapiens","Homo sapiens",FALSE,0.000132672471759911,"No Shift"
359,196,"Homo sapiens","Homo sapiens",FALSE,0.00483133255432372,"No Shift"
359,197,"Homo sapiens","Homo sapiens",FALSE,0.00313863655365854,"No Shift"
282,195,"Sus scrofa","Sus scrofa",FALSE,0.00363449678558758,"No Shift"
281,360,"Sus scrofa","Sus scrofa",FALSE,0.000536604483033481,"No Shift"
360,361,"Sus scrofa","Sus scrofa",FALSE,0.000343707698552084,"No Shift"
361,362,"Sus scrofa","Sus scrofa",FALSE,5.64495086822616e-05,"No Shift"
362,363,"Sus scrofa","Sus scrofa",FALSE,0.00069502683248337,"No Shift"
363,364,"Sus scrofa","Sus scrofa",FALSE,0.00129414940201774,"No Shift"
364,365,"Sus scrofa","Sus scrofa",FALSE,6.67392706586231e-05,"No Shift"
365,366,"Sus scrofa","Sus scrofa",FALSE,0.00114847363059867,"No Shift"
366,367,"Sus scrofa","Sus scrofa",FALSE,0.00323376665186253,"No Shift"
367,368,"Sus scrofa","Sus scrofa",FALSE,0.00302000564279379,"No Shift"
368,369,"Sus scrofa","Sus scrofa",FALSE,0.00110931491645293,"No Shift"
369,370,"Sus scrofa","Sus scrofa",FALSE,0.00102814895882483,"No Shift"
370,371,"Sus scrofa","Sus scrofa",FALSE,3.21487300161197e-08,"No Shift"
371,372,"Sus scrofa","Sus scrofa",FALSE,0.000431086450687361,"No Shift"
372,182,"Sus scrofa","Sus scrofa",FALSE,0.00340551248093126,"No Shift"
372,183,"Sus scrofa","Sus scrofa",FALSE,0.00082593709002439,"No Shift"
371,184,"Sus scrofa","Sus scrofa",FALSE,0.00739490949445676,"No Shift"
370,181,"Sus scrofa","Sus scrofa",FALSE,0.000603842529292683,"No Shift"
369,180,"Sus scrofa","Sus scrofa",FALSE,3.37833204900576e-05,"No Shift"
368,185,"Sus scrofa","Sus scrofa",FALSE,0.000117379583261641,"No Shift"
367,373,"Sus scrofa","Sus scrofa",FALSE,0.000680280822152993,"No Shift"
373,374,"Sus scrofa","Sus scrofa",FALSE,0.000242684374552106,"No Shift"
374,178,"Sus scrofa","Sus scrofa",FALSE,0.00149816075005455,"No Shift"
374,179,"Sus scrofa","Sus scrofa",FALSE,0.00260415673348115,"No Shift"
373,177,"Sus scrofa","Sus scrofa",FALSE,0.00124384857249568,"No Shift"
366,375,"Sus scrofa","Sus scrofa",FALSE,0.000684105345644856,"No Shift"
375,175,"Sus scrofa","Sus scrofa",FALSE,0.00056876272578714,"No Shift"
375,176,"Sus scrofa","Sus scrofa",FALSE,6.34225394324058e-05,"No Shift"
365,186,"Sus scrofa","Sus scrofa",FALSE,0.000774788633616408,"No Shift"
364,376,"Sus scrofa","Sus scrofa",FALSE,1.26011557849579e-07,"No Shift"
376,377,"Sus scrofa","Sus scrofa",FALSE,0.0048432447578714,"No Shift"
377,378,"Sus scrofa","Sus scrofa",FALSE,1.03278386694013e-08,"No Shift"
378,171,"Sus scrofa","Sus scrofa",FALSE,0.0011233662818071,"No Shift"
378,172,"Sus scrofa","Sus scrofa",FALSE,0.00277431825011086,"No Shift"
377,173,"Sus scrofa","Sus scrofa",FALSE,0.0756117485587583,"No Shift"
376,174,"Sus scrofa","Sus scrofa",FALSE,0.00055595120172949,"No Shift"
363,379,"Sus scrofa","Sus scrofa",FALSE,0.000485909019911308,"No Shift"
379,380,"Sus scrofa","Sus scrofa",FALSE,7.9764893196918e-12,"No Shift"
380,381,"Sus scrofa","Sus scrofa",FALSE,0.000102171392263858,"No Shift"
381,382,"Sus scrofa","Sus scrofa",FALSE,0.00407947792148559,"No Shift"
382,189,"Sus scrofa","Sus scrofa",FALSE,0.00137658864347118,"No Shift"
382,190,"Sus scrofa","Sus scrofa",FALSE,3.393448793301e-07,"No Shift"
381,191,"Sus scrofa","Sus scrofa",FALSE,0.00163423038115299,"No Shift"
380,192,"Sus scrofa","Sus scrofa",FALSE,0.00660407650997783,"No Shift"
379,383,"Sus scrofa","Sus scrofa",FALSE,0.00124764162383038,"No Shift"
383,187,"Sus scrofa","Sus scrofa",FALSE,0.000622220187359667,"No Shift"
383,188,"Sus scrofa","Sus scrofa",FALSE,0.000570684138360171,"No Shift"
362,193,"Sus scrofa","Sus scrofa",FALSE,0.000314286307006652,"No Shift"
361,194,"Sus scrofa","Sus scrofa",FALSE,0.00286474944900222,"No Shift"
360,384,"Sus scrofa","Sus scrofa",FALSE,3.46900021728758e-05,"No Shift"
384,169,"Sus scrofa","Sus scrofa",FALSE,0.000179654938933925,"No Shift"
384,170,"Sus scrofa","Sus scrofa",FALSE,0.00302061637028825,"No Shift"
280,168,"Gallus gallus","Gallus gallus",FALSE,0.000597455516922395,"No Shift"
279,167,"Cairina moschata","Cairina moschata",FALSE,0.000710484744444767,"No Shift"
