parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
380,420,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
420,428,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
428,429,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
429,430,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
430,431,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
431,442,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
442,468,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
468,469,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
469,507,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
507,508,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
508,509,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
509,510,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
510,511,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
511,512,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
512,513,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
513,514,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
514,515,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
515,516,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
516,517,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
517,518,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
518,519,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
519,520,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
520,521,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
521,522,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
522,523,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
523,524,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
525,526,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
526,527,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
527,528,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
528,529,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
532,533,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
533,534,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
534,535,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
535,536,Homo sapiens,Anatidae,TRUE,0,TRUE,Host Shift,seg2,PB1_polymerase
541,542,Mustela lutreola,Anas platyrhynchos,TRUE,0,TRUE,Host Shift,seg2,PB1_polymerase
542,543,Anas platyrhynchos,Anas platyrhynchos,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
543,544,Anas platyrhynchos,Gallus gallus,TRUE,0,TRUE,Host Shift,seg2,PB1_polymerase
544,757,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
542,90,Anas platyrhynchos,Anas platyrhynchos,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
541,91,Mustela lutreola,Mustela lutreola,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
540,545,Panthera tigris,Panthera tigris,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
545,92,Panthera tigris,Panthera tigris,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
546,94,Panthera tigris,Gallus gallus,TRUE,0,TRUE,Host Shift,seg2,PB1_polymerase
550,99,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
538,85,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
537,551,Anatidae,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
535,104,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
553,107,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
555,556,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg2,PB1_polymerase
