protein,feature_set,model,true,predicted,count
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Avian,32
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Human,1
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Swine,94
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Avian,4
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Human,1
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Swine,60
PB1_polymerase,strain_only,RandomForest,Avian,Avian,52
PB1_polymerase,strain_only,RandomForest,Avian,Human,5
PB1_polymerase,strain_only,RandomForest,Avian,Swine,3
PB1_polymerase,strain_only,RandomForest,Human,Avian,32
PB1_polymerase,strain_only,RandomForest,Human,Human,5
PB1_polymerase,strain_only,RandomForest,Human,Swine,77
PB1_polymerase,strain_only,RandomForest,Swine,Avian,4
PB1_polymerase,strain_only,RandomForest,Swine,Human,0
PB1_polymerase,strain_only,RandomForest,Swine,Swine,57
PB1_polymerase,strain_only,LogisticReg,Avian,Avian,52
PB1_polymerase,strain_only,LogisticReg,Avian,Human,5
PB1_polymerase,strain_only,LogisticReg,Avian,Swine,3
PB1_polymerase,strain_only,LogisticReg,Human,Avian,32
PB1_polymerase,strain_only,LogisticReg,Human,Human,5
PB1_polymerase,strain_only,LogisticReg,Human,Swine,77
PB1_polymerase,strain_only,LogisticReg,Swine,Avian,4
PB1_polymerase,strain_only,LogisticReg,Swine,Human,0
PB1_polymerase,strain_only,LogisticReg,Swine,Swine,57
PB1_polymerase,ptm_all,RandomForest,Avian,Avian,40
PB1_polymerase,ptm_all,RandomForest,Avian,Human,19
PB1_polymerase,ptm_all,RandomForest,Avian,Swine,1
PB1_polymerase,ptm_all,RandomForest,Human,Avian,16
PB1_polymerase,ptm_all,RandomForest,Human,Human,96
PB1_polymerase,ptm_all,RandomForest,Human,Swine,2
PB1_polymerase,ptm_all,RandomForest,Swine,Avian,7
PB1_polymerase,ptm_all,RandomForest,Swine,Human,51
PB1_polymerase,ptm_all,RandomForest,Swine,Swine,3
PB1_polymerase,ptm_plus_strain_all,RandomForest,Avian,Avian,52
PB1_polymerase,ptm_plus_strain_all,RandomForest,Avian,Human,8
PB1_polymerase,ptm_plus_strain_all,RandomForest,Avian,Swine,0
PB1_polymerase,ptm_plus_strain_all,RandomForest,Human,Avian,21
PB1_polymerase,ptm_plus_strain_all,RandomForest,Human,Human,16
PB1_polymerase,ptm_plus_strain_all,RandomForest,Human,Swine,77
PB1_polymerase,ptm_plus_strain_all,RandomForest,Swine,Avian,4
PB1_polymerase,ptm_plus_strain_all,RandomForest,Swine,Human,2
PB1_polymerase,ptm_plus_strain_all,RandomForest,Swine,Swine,55
PB1_polymerase,ptm_all,LogisticReg,Avian,Avian,40
PB1_polymerase,ptm_all,LogisticReg,Avian,Human,19
PB1_polymerase,ptm_all,LogisticReg,Avian,Swine,1
PB1_polymerase,ptm_all,LogisticReg,Human,Avian,15
PB1_polymerase,ptm_all,LogisticReg,Human,Human,96
PB1_polymerase,ptm_all,LogisticReg,Human,Swine,3
PB1_polymerase,ptm_all,LogisticReg,Swine,Avian,6
PB1_polymerase,ptm_all,LogisticReg,Swine,Human,51
PB1_polymerase,ptm_all,LogisticReg,Swine,Swine,4
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Avian,49
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Human,10
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Swine,1
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Human,Avian,17
