protein,feature_set,model,n_samples,n_sites_used,n_strain_features,accuracy,balanced_accuracy
M2_ion_channel,ptm_plus_strain_slow,LogisticReg,310,2,3,0.5032,0.6362
NS1_protein,strain_only,RandomForest,279,0,3,0.4444,0.6222
NS1_protein,strain_only,LogisticReg,279,0,3,0.4444,0.6222
NS1_protein,ptm_all,RandomForest,279,24,0,0.7993,0.7481
NS1_protein,ptm_plus_strain_all,RandomForest,279,24,3,0.8029,0.7564
NS1_protein,ptm_all,LogisticReg,279,24,0,0.7706,0.7268
NS1_protein,ptm_plus_strain_all,LogisticReg,279,24,3,0.7814,0.7337
NS1_protein,ptm_slow,RandomForest,279,5,0,0.4086,0.4767
NS1_protein,ptm_plus_strain_slow,RandomForest,279,5,3,0.6882,0.6522
NS1_protein,ptm_slow,LogisticReg,279,5,0,0.3226,0.455
NS1_protein,ptm_plus_strain_slow,LogisticReg,279,5,3,0.4409,0.6125
NEP_protein,strain_only,RandomForest,262,0,3,0.4962,0.6274
NEP_protein,strain_only,LogisticReg,262,0,3,0.4962,0.6274
NEP_protein,ptm_all,RandomForest,262,2,0,0.5534,0.5618
NEP_protein,ptm_plus_strain_all,RandomForest,262,2,3,0.6908,0.7105
NEP_protein,ptm_all,LogisticReg,262,2,0,0.5534,0.5618
NEP_protein,ptm_plus_strain_all,LogisticReg,262,2,3,0.6908,0.7105
HA_full,strain_only,RandomForest,608,0,3,0.3701,0.6408
HA_full,strain_only,LogisticReg,608,0,3,0.3701,0.6408
HA_full,ptm_all,RandomForest,608,80,0,0.875,0.8134
HA_full,ptm_plus_strain_all,RandomForest,608,80,3,0.875,0.8144
HA_full,ptm_all,LogisticReg,608,80,0,0.8306,0.7828
HA_full,ptm_plus_strain_all,LogisticReg,608,80,3,0.8257,0.7801
HA_full,ptm_fast,RandomForest,608,2,0,0.2961,0.371
HA_full,ptm_plus_strain_fast,RandomForest,608,2,3,0.4309,0.6537
HA_full,ptm_fast,LogisticReg,608,2,0,0.2961,0.371
HA_full,ptm_plus_strain_fast,LogisticReg,608,2,3,0.4309,0.6537
HA_full,ptm_slow,RandomForest,608,4,0,0.2582,0.3872
HA_full,ptm_plus_strain_slow,RandomForest,608,4,3,0.7911,0.6682
HA_full,ptm_slow,LogisticReg,608,4,0,0.2582,0.3872
HA_full,ptm_plus_strain_slow,LogisticReg,608,4,3,0.7911,0.6682
