Protein,TotalSites,SignificantSites,Percentage
seg4 / HA_full,79,45,56.96
seg6 / NA_neuraminidase,57,29,50.88
seg8 / NS1_protein,24,15,62.5
seg1 / PB2_polymerase,39,12,30.77
seg3 / PA_polymerase,33,8,24.24
seg5 / NP_protein,26,7,26.92
seg2 / PB1-F2_protein,14,5,35.71
seg2 / PB1_polymerase,21,5,23.81
seg7 / M2_ion_channel,12,5,41.67
seg3 / PA-X_protein,12,3,25
seg7 / M1_matrix_protein,8,3,37.5
