parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
181,182,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
182,183,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
183,72,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
183,73,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
182,74,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
181,75,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
180,76,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
179,77,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
174,186,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
186,187,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
187,188,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
188,189,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
189,190,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
190,191,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
191,192,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
192,193,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
193,194,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
194,82,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
194,83,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
193,84,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
192,85,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
191,86,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
189,88,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
188,89,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
187,90,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
195,196,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
197,198,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
198,199,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
199,200,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
200,201,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
202,203,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
203,204,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
204,205,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
205,206,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
204,95,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
202,97,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
201,98,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
200,99,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
199,100,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
197,102,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
196,103,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
195,104,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
106,1,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
107,169,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
169,170,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
172,66,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
171,67,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
170,68,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
169,69,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
108,64,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
109,168,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
168,62,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
168,63,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
110,61,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
111,158,Anas carolinensis,Anas carolinensis,FALSE,0,TRUE,No Shift,seg3,PA-X
158,159,Anas carolinensis,Gallus gallus,TRUE,0,TRUE,Host Shift,seg3,PA-X
159,160,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
160,50,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
159,161,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
162,52,Gallus gallus,Spatula discors,TRUE,0,TRUE,Host Shift,seg3,PA-X
164,53,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
164,54,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
163,55,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg3,PA-X
161,165,Gallus gallus,Anas cyanoptera,TRUE,0,TRUE,Host Shift,seg3,PA-X
165,166,Anas cyanoptera,Spatula clypeata,TRUE,0,TRUE,Host Shift,seg3,PA-X
166,167,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg3,PA-X
167,56,Spatula clypeata,Numididae sp.,TRUE,0,TRUE,Host Shift,seg3,PA-X
167,57,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg3,PA-X
166,58,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg3,PA-X
158,60,Anas carolinensis,Anas carolinensis,FALSE,0,TRUE,No Shift,seg3,PA-X
112,157,Aves,Mareca americana,TRUE,0,TRUE,Host Shift,seg3,PA-X
157,48,Mareca americana,Mareca americana,FALSE,0,TRUE,No Shift,seg3,PA-X
157,49,Mareca americana,Mareca americana,FALSE,0,TRUE,No Shift,seg3,PA-X
113,47,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
114,153,Aves,Arenaria interpres,TRUE,0,TRUE,Host Shift,seg3,PA-X
153,154,Arenaria interpres,Anatidae,TRUE,0,TRUE,Host Shift,seg3,PA-X
154,155,Anatidae,Panthera tigris,TRUE,0,TRUE,Host Shift,seg3,PA-X
155,156,Panthera tigris,Panthera tigris,FALSE,0,TRUE,No Shift,seg3,PA-X
156,42,Panthera tigris,Panthera tigris,FALSE,0,TRUE,No Shift,seg3,PA-X
156,43,Panthera tigris,Panthera tigris,FALSE,0,TRUE,No Shift,seg3,PA-X
154,45,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg3,PA-X
